Subject 1,Subject 2,Subject 3
Bangla,Social Work,Geography
Sociology,History,Islamic History
Physics,Chemistry,Biology
Physics,ICT,Higher Math
Accounting,Management,Finance
Logic,Sociology,Economics
English,Bangla,Social Work
Physics,ICT,Biology
Economics,Management,ICT
Geography,Sociology,Social Work
English,Finance,Economics
ICT,Physics,Higher Math
Social Work,History,English
Sociology,Geography,Islamic History
Biology,Chemistry,Higher Math
ICT,Bangla,English
Accounting,Economics,Management
Physics,English,Logic
Higher Math,Bangla,ICT
Management,Finance,Geography
Islamic History,History,Economics
ICT,Biology,Physics
